000005.jpg,chair,131.0,164.0,27.0,76.0
000005.jpg,chair,94.0,190.0,39.0,65.0
000005.jpg,chair,16.0,185.0,28.0,78.0
000005.jpg,chair,120.0,147.0,24.0,63.0
000005.jpg,chair,132.0,121.0,16.0,20.0
000007.jpg,car,144.0,128.0,161.0,188.0
000009.jpg,horse,76.0,150.0,90.0,94.0
000009.jpg,person,85.0,127.0,35.0,85.0
000009.jpg,person,137.0,159.0,19.0,78.0
000009.jpg,person,124.0,157.0,17.0,78.0
000012.jpg,car,114.0,123.0,87.0,116.0
000016.jpg,bicycle,133.0,122.0,143.0,180.0
000017.jpg,person,108.0,80.0,44.0,84.0
000017.jpg,horse,115.0,127.0,146.0,159.0
000019.jpg,cat,160.0,103.0,113.0,100.0
000019.jpg,cat,62.0,111.0,114.0,87.0
000020.jpg,car,121.0,126.0,202.0,120.0
000021.jpg,dog,61.0,140.0,121.0,69.0
000021.jpg,person,182.0,116.0,84.0,200.0
000021.jpg,person,72.0,100.0,83.0,127.0
000021.jpg,person,51.0,134.0,87.0,107.0
000023.jpg,bicycle,85.0,164.0,158.0,121.0
000023.jpg,bicycle,189.0,161.0,70.0,125.0
000023.jpg,bicycle,31.0,152.0,59.0,144.0
000023.jpg,person,40.0,83.0,77.0,165.0
000023.jpg,person,82.0,104.0,161.0,206.0
000023.jpg,person,187.0,109.0,73.0,217.0
000024.jpg,train,153.0,138.0,131.0,55.0
000026.jpg,car,96.0,113.0,111.0,59.0
000030.jpg,bicycle,48.0,148.0,65.0,50.0
000030.jpg,person,45.0,135.0,44.0,79.0
000030.jpg,person,167.0,128.0,69.0,91.0
000032.jpg,aeroplane,107.0,104.0,121.0,84.0
000032.jpg,aeroplane,74.0,84.0,29.0,28.0
000032.jpg,person,91.0,163.0,8.0,39.0
000032.jpg,person,16.0,170.0,8.0,39.0
000033.jpg,aeroplane,114.0,113.0,220.0,95.0
000033.jpg,aeroplane,202.0,130.0,27.0,16.0
000033.jpg,aeroplane,165.0,126.0,39.0,21.0
000034.jpg,train,148.0,127.0,152.0,104.0
000034.jpg,train,147.0,86.0,119.0,34.0
000035.jpg,person,43.0,136.0,85.0,158.0
000035.jpg,person,153.0,124.0,111.0,131.0
000035.jpg,person,217.0,153.0,14.0,73.0
000035.jpg,diningtable,113.0,203.0,223.0,42.0
000036.jpg,dog,117.0,95.0,197.0,119.0
000039.jpg,tvmonitor,112.0,110.0,84.0,113.0
000041.jpg,tvmonitor,178.0,52.0,31.0,40.0
000041.jpg,person,117.0,133.0,41.0,141.0
000041.jpg,person,88.0,132.0,28.0,65.0
000042.jpg,train,171.0,109.0,106.0,176.0
000042.jpg,train,53.0,112.0,105.0,176.0
000044.jpg,chair,83.0,111.0,165.0,221.0
000044.jpg,cat,92.0,106.0,95.0,75.0
000046.jpg,bird,178.0,134.0,72.0,59.0
000047.jpg,car,106.0,105.0,199.0,209.0
000047.jpg,chair,207.0,135.0,22.0,40.0
000048.jpg,bird,104.0,128.0,139.0,160.0
000048.jpg,person,91.0,112.0,179.0,224.0
000050.jpg,chair,201.0,122.0,39.0,61.0
000050.jpg,chair,131.0,89.0,17.0,24.0
000050.jpg,bottle,166.0,136.0,9.0,44.0
000050.jpg,bottle,184.0,124.0,10.0,32.0
000050.jpg,bottle,126.0,128.0,9.0,40.0
000050.jpg,bottle,136.0,125.0,8.0,39.0
000050.jpg,person,81.0,141.0,101.0,167.0
000050.jpg,person,20.0,120.0,39.0,156.0
000050.jpg,person,99.0,79.0,33.0,77.0
000050.jpg,person,155.0,90.0,54.0,104.0
000051.jpg,motorbike,191.0,153.0,66.0,142.0
000051.jpg,motorbike,119.0,73.0,144.0,146.0
000051.jpg,person,197.0,76.0,22.0,80.0
000052.jpg,pottedplant,195.0,166.0,20.0,21.0
000052.jpg,pottedplant,140.0,171.0,19.0,22.0
000052.jpg,pottedplant,92.0,172.0,20.0,24.0
000052.jpg,pottedplant,34.0,174.0,21.0,20.0
000052.jpg,pottedplant,38.0,77.0,20.0,24.0
000052.jpg,pottedplant,92.0,75.0,18.0,23.0
000060.jpg,car,96.0,158.0,191.0,131.0
000060.jpg,car,108.0,100.0,214.0,116.0
000060.jpg,car,95.0,56.0,189.0,76.0
000060.jpg,car,112.0,47.0,185.0,85.0
000060.jpg,car,151.0,35.0,124.0,62.0
000061.jpg,boat,159.0,98.0,73.0,180.0
000061.jpg,boat,104.0,157.0,43.0,26.0
000063.jpg,dog,112.0,116.0,115.0,96.0
000063.jpg,chair,113.0,112.0,158.0,223.0
000064.jpg,bird,102.0,117.0,203.0,214.0
000065.jpg,dog,90.0,146.0,177.0,154.0
000066.jpg,person,98.0,125.0,9.0,26.0
000066.jpg,person,116.0,132.0,14.0,46.0
000066.jpg,person,126.0,134.0,12.0,42.0
000072.jpg,motorbike,125.0,122.0,197.0,180.0
000072.jpg,motorbike,122.0,40.0,200.0,42.0
000073.jpg,pottedplant,148.0,135.0,152.0,142.0
000073.jpg,pottedplant,20.0,137.0,37.0,137.0
000073.jpg,boat,193.0,109.0,63.0,79.0
000073.jpg,person,50.0,144.0,74.0,160.0
000077.jpg,cat,166.0,112.0,116.0,223.0
000077.jpg,cat,69.0,112.0,136.0,223.0
000078.jpg,dog,110.0,130.0,206.0,180.0
000078.jpg,dog,119.0,75.0,154.0,105.0
000081.jpg,sofa,156.0,148.0,102.0,83.0
000081.jpg,sofa,51.0,164.0,95.0,105.0
000081.jpg,person,121.0,130.0,64.0,50.0
000081.jpg,person,179.0,138.0,46.0,81.0
